episode,global_step,episode_reward,episode_length,epsilon,avg_loss,crashed,train_density
90,1899,22.991476622451632,30,0.819595,nan,0,0.6
91,1913,11.849547931818078,14,0.818265,nan,1,0.6
92,1926,9.05809203868893,13,0.81703,nan,1,0.6
93,1956,23.703584052801634,30,0.81418,nan,0,0.6
94,1986,28.57723365103769,30,0.81133,nan,0,0.6
95,2013,20.18296486529513,27,0.808765,nan,1,0.6
96,2030,14.325126284757491,17,0.80715,nan,1,0.6
97,2060,23.594788498964245,30,0.8043,nan,0,0.6
98,2090,21.30205594390183,30,0.80145,nan,0,0.6
99,2120,21.77073733177999,30,0.7986,nan,0,0.6
100,2150,21.328516838103003,30,0.79575,nan,0,0.6
101,2180,22.184728106690056,30,0.7929,nan,0,0.6
102,2210,23.669004111102694,30,0.79005,nan,0,0.6
103,2240,25.13872058053112,30,0.7872,nan,0,0.6
104,2265,19.809094353329247,25,0.784825,nan,1,0.6
105,2295,26.73509345159143,30,0.781975,nan,0,0.6
106,2325,21.645109709920238,30,0.7791250000000001,nan,0,0.6
107,2350,19.958484343995618,25,0.77675,nan,1,0.6
108,2354,2.9194708959270255,4,0.77637,nan,1,0.6
109,2384,21.057564651513935,30,0.77352,nan,0,0.6
110,2409,20.41151115720146,25,0.771145,nan,1,0.6
111,2439,21.213581135972124,30,0.768295,nan,0,0.6
112,2449,8.353975607660466,10,0.7673449999999999,nan,1,0.6
113,2459,7.9614162907299955,10,0.7663949999999999,nan,1,0.6
114,2489,21.885923261193152,30,0.763545,nan,0,0.6
115,2519,27.601493617944833,30,0.760695,nan,0,0.6
116,2549,25.04842643265225,30,0.757845,nan,0,0.6
117,2554,3.75812300647113,5,0.75737,nan,1,0.6
118,2570,11.455983080715843,16,0.75585,nan,1,0.6
119,2585,12.796449193086982,15,0.754425,nan,1,0.6
120,2615,24.472951683790484,30,0.751575,nan,0,0.6
121,2624,7.005675874678035,9,0.75072,nan,1,0.6
122,2654,21.836348769372986,30,0.74787,nan,0,0.6
123,2665,8.200384791903236,11,0.7468250000000001,nan,1,0.6
124,2679,9.664848955545292,14,0.745495,nan,1,0.6
125,2709,21.32107863153395,30,0.742645,nan,0,0.6
126,2739,22.31710622327656,30,0.739795,nan,0,0.6
127,2754,12.758597748827526,15,0.73837,nan,1,0.6
128,2780,19.66370602940053,26,0.7359,nan,1,0.6
129,2810,20.885182016562567,30,0.73305,nan,0,0.6
130,2840,25.610304338901255,30,0.7302,nan,0,0.6
131,2870,21.373640091835842,30,0.72735,nan,0,0.6
132,2889,17.354904486702026,19,0.725545,nan,1,0.6
133,2919,25.00841185999537,30,0.7226950000000001,nan,0,0.6
134,2949,24.1421936980098,30,0.7198450000000001,nan,0,0.6
135,2963,10.728317769698602,14,0.718515,nan,1,0.6
136,2993,26.965582045790683,30,0.715665,nan,0,0.6
137,3023,21.564768329729457,30,0.712815,nan,0,0.6
138,3035,10.167135915977427,12,0.7116750000000001,nan,1,0.6
139,3050,12.163343840685473,15,0.71025,nan,1,0.6
140,3058,6.7548778637032605,8,0.70949,nan,1,0.6
141,3088,26.170185853198404,30,0.7066399999999999,nan,0,0.6
142,3118,22.985817772424582,30,0.7037899999999999,nan,0,0.6
143,3132,11.01401918679007,14,0.7024600000000001,nan,1,0.6
144,3162,22.120620662070593,30,0.6996100000000001,nan,0,0.6
145,3192,23.153206382835325,30,0.69676,nan,0,0.6
146,3196,2.982558112130826,4,0.69638,nan,1,0.6
147,3226,21.75504699911928,30,0.69353,nan,0,0.6
148,3237,7.995460194967527,11,0.692485,nan,1,0.6
149,3248,9.94844928626359,11,0.69144,nan,1,0.6
150,3274,21.560609851325616,26,0.68897,nan,1,0.6
151,3304,24.201366331476194,30,0.6861200000000001,nan,0,0.6
152,3322,14.968340505868069,18,0.68441,nan,1,0.6
153,3348,22.04210341267568,26,0.68194,nan,1,0.6
154,3355,5.047491436491241,7,0.6812750000000001,nan,1,0.6
155,3370,11.986761532332993,15,0.6798500000000001,nan,1,0.6
156,3375,3.9590471683324666,5,0.6793750000000001,nan,1,0.6
157,3380,3.758512897770461,5,0.6789000000000001,nan,1,0.6
158,3392,8.905173555961055,12,0.67776,nan,1,0.6
159,3400,6.159698298207093,8,0.677,nan,1,0.6
160,3406,4.198696051042128,6,0.67643,nan,1,0.6
161,3436,26.604863984683565,30,0.6735800000000001,nan,0,0.6
162,3458,15.390176186256346,22,0.67149,nan,1,0.6
163,3488,22.069235140141224,30,0.66864,nan,0,0.6
164,3495,5.158469161925414,7,0.667975,nan,1,0.6
165,3525,24.781221417888037,30,0.665125,nan,0,0.6
166,3543,15.785999927719672,18,0.6634150000000001,nan,1,0.6
167,3566,18.45059790845789,23,0.66123,nan,1,0.6
168,3576,8.156300424867643,10,0.66028,nan,1,0.6
169,3606,22.95170046402259,30,0.65743,nan,0,0.6
170,3632,19.541821282349428,26,0.65496,nan,1,0.6
171,3645,9.613636363636362,13,0.653725,nan,1,0.6
172,3675,22.993488410022277,30,0.6508750000000001,nan,0,0.6
173,3680,3.953519466070628,5,0.6504000000000001,nan,1,0.6
174,3710,20.89189702994109,30,0.6475500000000001,nan,0,0.6
175,3740,26.404637965172896,30,0.6447,nan,0,0.6
176,3770,25.485470354349424,30,0.64185,nan,0,0.6
177,3800,21.483679108491387,30,0.639,nan,0,0.6
178,3830,22.710418902236313,30,0.63615,nan,0,0.6
179,3860,21.485165519527193,30,0.6333,nan,0,0.6
180,3888,23.210650966405705,28,0.6306400000000001,nan,1,0.6
181,3918,27.921567196791774,30,0.6277900000000001,nan,0,0.6
182,3932,9.939845649666164,14,0.62646,nan,1,0.6
183,3954,19.757792199582685,22,0.6243700000000001,nan,1,0.6
184,3984,23.07304982915068,30,0.6215200000000001,nan,0,0.6
185,4014,24.972599720506526,30,0.61867,nan,0,0.6
186,4027,10.005342357891976,13,0.617435,nan,1,0.6
187,4040,9.999731259787474,13,0.6162,nan,1,0.6
188,4066,20.08275888624373,26,0.61373,nan,1,0.6
189,4085,14.139224103642285,19,0.611925,nan,1,0.6
190,4115,25.61362881897203,30,0.609075,nan,0,0.6
191,4127,9.958966521968792,12,0.607935,nan,1,0.6
